booking_id,passenger_id,flight_id,booking_date,status,passport_number,seat_number,emergency_contact_name,emergency_contact_phone,airline,source,destination,departure_time,arrival_time,duration_mins,is_overnight,duration_hhmm,route,is_delayed,departure_slot,payment_id,amount,payment_method,age,age_group,gender,first_name,last_name
B1000,P1591,AI192,2025-06-14 11:37:36.951,CANCELLED,461cdc82d560421d99d9c186e313d2b76fa5358a61a4a5fb3d7bffa7940b86d5,3D,I***,9b24a99d92bb1b64e3b8f15923dccb3dab79c33fdba9bdc6536207534bd6dd12,AIR INDIA,MAA,BOM,2026-04-20 23:05:41.703,2026-04-21 04:04:41.703,299.0,1.0,4h 59m,MAA to BOM,1.0,Night (21-05),,,,4,Under 18,M,K***,M***
B1001,P1803,6F026,2025-11-02 11:37:36.951,CANCELLED,2471051494f427578858f933380ab1b0db61059016439bca4b2681f4a70273eb,18A,A***,15a2d5dbab51e893ca8769c8dd3dd68fec48cf952ac6eedc1799e4be7f2dffbb,INDIGO,BOM,CCU,2026-04-20 22:46:42.000,2026-04-21 03:13:42.000,267.0,1.0,4h 27m,BOM to CCU,1.0,Night (21-05),,,,82,60+,F,K***,S***
B1002,P1083,SJ010,2025-08-25 11:37:36.951,CANCELLED,63519a67cf0f83992e046f0075ebfaf90ee9ee1311c75e2cd371fc24a8269b2f,30C,U***,119db85e5ed5f81c66beeeba9eaf15fbf5389cff876622c6f9068a135bb1463a,SPICEJET,CCU,MAA,2026-04-20 23:38:41.701,2026-04-21 02:32:41.701,174.0,1.0,2h 54m,CCU to MAA,0.0,Night (21-05),PAY1305,6087.22,UPI,62,60+,F,A***,B***
B1002,P1083,SJ010,2025-08-25 11:37:36.951,CANCELLED,63519a67cf0f83992e046f0075ebfaf90ee9ee1311c75e2cd371fc24a8269b2f,30C,U***,119db85e5ed5f81c66beeeba9eaf15fbf5389cff876622c6f9068a135bb1463a,SPICEJET,CCU,MAA,2026-04-20 23:38:41.701,2026-04-21 02:32:41.701,174.0,1.0,2h 54m,CCU to MAA,0.0,Night (21-05),PAY1912,2505.86,NETBANKING,62,60+,F,A***,B***
B1003,P1364,AI069,2025-12-30 11:37:36.951,CONFIRMED,1b0cae8ce7774b10afc55c7d92d7ac9591259732cde1b214af4e7e227304e636,33A,H***,1765622f1401c863ff700954a32dc1229f7d0b4d52b146a59efd3070480bef5e,Air India,DEL,BOM,2026-04-20 22:43:41.702,2026-04-21 02:29:41.702,226.0,1.0,3h 46m,DEL to BOM,1.0,Night (21-05),,,,60,46-60,M,A***,G***
B1004,P1885,UK003,2025-10-02 11:37:36.951,PENDING,2bf7efe1aab555160331c3749839fe34c57eec24cbd5d5070c05448e0f58b877,25C,P***,409b784fcf87df5bd6481abd515de3961cbb632f1dde1c0147890493b56e8112,Vistara,HYD,DEL,2026-04-20 21:41:41.700,2026-04-21 02:19:41.700,278.0,1.0,4h 38m,HYD to DEL,1.0,Night (21-05),PAY1738,12222.48,UPI,33,31-45,F,I***,C***
B1005,P1548,AI048,2025-08-31 11:37:36.951,CONFIRMED,8c22bf3e83019d0b429b1a9b219c6d1f430fc5126e82ab3214ba1d9afa26fcda,13D,A***,72cfd8fa529e3b31b04a569c0545e32037a69aed01e69f8db1f30cef2f82e9cd,AIR INDIA,CCU,DEL,2026-04-20 22:23:41.701,2026-04-21 02:15:41.701,232.0,1.0,3h 52m,CCU to DEL,1.0,Night (21-05),PAY1122,13378.9,UPI,52,46-60,F,S***,N***
B1006,P1341,AI140,2025-06-29 11:37:36.951,CANCELLED,a517d419ea3ad507722a75b6d66ef504a266260258e70618fc1fb10940b04f4d,17F,T***,1f5a84ce6df723114977e7dbc98d0c8dd3bbbdaacf15eb609b81d17fc82a47ed,AIR INDIA,BOM,DEL,2026-04-20 22:25:41.702,2026-04-21 02:08:41.702,223.0,1.0,3h 43m,BOM to DEL,1.0,Night (21-05),PAY1206,14980.37,NETBANKING,58,46-60,M,R***,D***
B1007,P1838,UK167,2026-03-12 11:37:36.951,CONFIRMED,c69e79d96e35d6e363aa5cbd452f8f5df2a74f6bb2f843c96675e2abd211d509,22E,Y***,c2813831bca28395b41c80d1ffa0108c03ae00286fd95afea1893ac2d987f81e,VISTARA,DEL,MAA,2026-04-20 22:45:41.703,2026-04-21 01:46:41.703,181.0,1.0,3h 1m,DEL to MAA,0.0,Night (21-05),,,,87,60+,M,I***,K***
B1008,P1406,AI245,2025-09-07 11:37:36.951,PENDING,94fa13e5d477716c1f266cdb257eb51cd49bbb936c94673d5c2b93d1b32e176e,34F,R***,ee4a470d31a20904daa0fb7eb6fb09c52de5b20299a1bb4dcaf5acae49dc1425,AIR INDIA,BOM,CCU,2026-04-20 23:07:41.704,2026-04-21 01:43:41.704,156.0,1.0,2h 36m,BOM to CCU,0.0,Night (21-05),,,,40,31-45,F,K***,V***
